Mon:11:02:02, Humidity: 46.28, Temp: 76.84, TVOC: 16.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.409 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.90
Mon:11:02:02, Humidity: 46.28, Temp: 76.88, TVOC: 11.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.409 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.88
Mon:11:02:03, Humidity: 46.28, Temp: 76.84, TVOC: 5.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.409 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.88
Mon:11:02:04, Humidity: 46.28, Temp: 76.86, TVOC: 10.00 ppb, eCOtwo: 406.00 ppm, HCHO: 0.409 ppm, 1.47, 0.43, 0.09, 0.30, 0.53, 0.17, 0.21, 4.92
Mon:11:02:08, Humidity: 46.30, Temp: 76.88, TVOC: 11.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.409 ppm, 1.46, 0.44, 0.09, 0.30, 0.52, 0.16, 0.21, 4.92
Mon:11:02:08, Humidity: 46.28, Temp: 76.86, TVOC: 12.00 ppb, eCOtwo: 408.00 ppm, HCHO: 0.409 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.98
Mon:11:02:08, Humidity: 46.27, Temp: 76.86, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.410 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.92
Mon:11:02:08, Humidity: 46.28, Temp: 76.86, TVOC: 5.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.410 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.84
Mon:11:02:09, Humidity: 46.27, Temp: 76.86, TVOC: 5.00 ppb, eCOtwo: 409.00 ppm, HCHO: 0.410 ppm, 1.46, 0.44, 0.09, 0.30, 0.52, 0.16, 0.21, 4.88
Mon:11:02:13, Humidity: 46.28, Temp: 76.86, TVOC: 10.00 ppb, eCOtwo: 404.00 ppm, HCHO: 0.410 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.92
Mon:11:02:13, Humidity: 46.28, Temp: 76.86, TVOC: 16.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.410 ppm, 1.46, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.93
Mon:11:02:13, Humidity: 46.29, Temp: 76.84, TVOC: 7.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.410 ppm, 1.46, 0.43, 0.09, 0.30, 0.53, 0.16, 0.21, 4.92
Mon:11:02:14, Humidity: 46.31, Temp: 76.82, TVOC: 6.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.410 ppm, 1.47, 0.44, 0.09, 0.30, 0.54, 0.16, 0.21, 4.88
Mon:11:02:15, Humidity: 46.30, Temp: 76.86, TVOC: 4.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.410 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.93
Mon:11:02:19, Humidity: 46.31, Temp: 76.86, TVOC: 1.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.410 ppm, 1.44, 0.44, 0.09, 0.30, 0.53, 0.16, 0.20, 4.90
Mon:11:02:19, Humidity: 46.31, Temp: 76.88, TVOC: 8.00 ppb, eCOtwo: 401.00 ppm, HCHO: 0.410 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.88
Mon:11:02:19, Humidity: 46.33, Temp: 76.84, TVOC: 6.00 ppb, eCOtwo: 404.00 ppm, HCHO: 0.410 ppm, 1.46, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 5.00
Mon:11:02:19, Humidity: 46.34, Temp: 76.86, TVOC: 5.00 ppb, eCOtwo: 404.00 ppm, HCHO: 0.410 ppm, 1.47, 0.43, 0.09, 0.30, 0.53, 0.17, 0.21, 4.90
Mon:11:02:20, Humidity: 46.35, Temp: 76.86, TVOC: 2.00 ppb, eCOtwo: 411.00 ppm, HCHO: 0.410 ppm, 1.46, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.92
Mon:11:02:24, Humidity: 46.33, Temp: 76.86, TVOC: 4.00 ppb, eCOtwo: 411.00 ppm, HCHO: 0.410 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.90
Mon:11:02:24, Humidity: 46.35, Temp: 76.86, TVOC: 3.00 ppb, eCOtwo: 403.00 ppm, HCHO: 0.410 ppm, 1.47, 0.43, 0.09, 0.30, 0.53, 0.16, 0.20, 4.82
Mon:11:02:24, Humidity: 46.36, Temp: 76.86, TVOC: 8.00 ppb, eCOtwo: 407.00 ppm, HCHO: 0.409 ppm, 1.46, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.91
Mon:11:02:25, Humidity: 46.35, Temp: 76.86, TVOC: 9.00 ppb, eCOtwo: 407.00 ppm, HCHO: 0.409 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.88
Mon:11:02:26, Humidity: 46.36, Temp: 76.88, TVOC: 5.00 ppb, eCOtwo: 413.00 ppm, HCHO: 0.409 ppm, 1.44, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.88
Mon:11:02:30, Humidity: 46.36, Temp: 76.84, TVOC: 17.00 ppb, eCOtwo: 407.00 ppm, HCHO: 0.409 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.17, 0.21, 4.90
Mon:11:02:30, Humidity: 46.37, Temp: 76.86, TVOC: 9.00 ppb, eCOtwo: 405.00 ppm, HCHO: 0.409 ppm, 1.47, 0.44, 0.09, 0.29, 0.53, 0.16, 0.21, 4.88
Mon:11:02:30, Humidity: 46.39, Temp: 76.86, TVOC: 7.00 ppb, eCOtwo: 406.00 ppm, HCHO: 0.409 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.88
Mon:11:02:30, Humidity: 46.38, Temp: 76.86, TVOC: 0.00 ppb, eCOtwo: 415.00 ppm, HCHO: 0.409 ppm, 1.44, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.92
Mon:11:02:31, Humidity: 46.39, Temp: 76.86, TVOC: 13.00 ppb, eCOtwo: 415.00 ppm, HCHO: 0.409 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.88
Mon:11:02:35, Humidity: 46.42, Temp: 76.90, TVOC: 5.00 ppb, eCOtwo: 420.00 ppm, HCHO: 0.410 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.91
Mon:11:02:35, Humidity: 46.39, Temp: 76.88, TVOC: 8.00 ppb, eCOtwo: 424.00 ppm, HCHO: 0.410 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.92
Mon:11:02:35, Humidity: 46.38, Temp: 76.88, TVOC: 22.00 ppb, eCOtwo: 422.00 ppm, HCHO: 0.410 ppm, 1.47, 0.43, 0.09, 0.30, 0.53, 0.16, 0.21, 4.91
Mon:11:02:36, Humidity: 46.39, Temp: 76.86, TVOC: 10.00 ppb, eCOtwo: 413.00 ppm, HCHO: 0.410 ppm, 1.47, 0.44, 0.09, 0.29, 0.53, 0.16, 0.21, 4.88
Mon:11:02:37, Humidity: 46.39, Temp: 76.84, TVOC: 14.00 ppb, eCOtwo: 408.00 ppm, HCHO: 0.410 ppm, 1.46, 0.43, 0.09, 0.30, 0.53, 0.16, 0.21, 4.91
Mon:11:02:41, Humidity: 46.39, Temp: 76.88, TVOC: 16.00 ppb, eCOtwo: 408.00 ppm, HCHO: 0.410 ppm, 1.47, 0.44, 0.09, 0.29, 0.53, 0.16, 0.21, 4.97
Mon:11:02:41, Humidity: 46.39, Temp: 76.90, TVOC: 11.00 ppb, eCOtwo: 408.00 ppm, HCHO: 0.410 ppm, 1.47, 0.43, 0.09, 0.30, 0.53, 0.16, 0.21, 4.92
Mon:11:02:41, Humidity: 46.41, Temp: 76.86, TVOC: 18.00 ppb, eCOtwo: 409.00 ppm, HCHO: 0.410 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.92
Mon:11:02:41, Humidity: 46.39, Temp: 76.90, TVOC: 14.00 ppb, eCOtwo: 413.00 ppm, HCHO: 0.410 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.20, 4.84
Mon:11:02:42, Humidity: 46.39, Temp: 76.90, TVOC: 9.00 ppb, eCOtwo: 403.00 ppm, HCHO: 0.410 ppm, 1.47, 0.44, 0.09, 0.30, 0.52, 0.16, 0.21, 4.91
Mon:11:02:46, Humidity: 46.39, Temp: 76.88, TVOC: 11.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.410 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.91
Mon:11:02:46, Humidity: 46.39, Temp: 76.90, TVOC: 20.00 ppb, eCOtwo: 408.00 ppm, HCHO: 0.410 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.91
Mon:11:02:46, Humidity: 46.41, Temp: 76.86, TVOC: 13.00 ppb, eCOtwo: 401.00 ppm, HCHO: 0.410 ppm, 1.48, 0.44, 0.09, 0.30, 0.54, 0.16, 0.21, 4.91
Mon:11:02:47, Humidity: 46.41, Temp: 76.86, TVOC: 14.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.411 ppm, 1.47, 0.44, 0.09, 0.30, 0.52, 0.16, 0.21, 4.91
Mon:11:02:48, Humidity: 46.41, Temp: 76.86, TVOC: 11.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.411 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.91
Mon:11:02:52, Humidity: 46.41, Temp: 76.88, TVOC: 7.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.411 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.92
Mon:11:02:52, Humidity: 46.43, Temp: 76.86, TVOC: 16.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.411 ppm, 1.48, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.88
