Mon:12:46:19, Humidity: 47.62, Temp: 74.74, TVOC: 6.00 ppb, eCOtwo: 409.00 ppm, HCHO: 0.445 ppm, 1.46, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.91
Mon:12:46:20, Humidity: 47.59, Temp: 74.74, TVOC: 7.00 ppb, eCOtwo: 401.00 ppm, HCHO: 0.445 ppm, 1.47, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.84
Mon:12:46:23, Humidity: 47.62, Temp: 74.72, TVOC: 11.00 ppb, eCOtwo: 401.00 ppm, HCHO: 0.445 ppm, 1.46, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.92
Mon:12:46:23, Humidity: 47.60, Temp: 74.72, TVOC: 1.00 ppb, eCOtwo: 402.00 ppm, HCHO: 0.445 ppm, 1.46, 0.46, 0.08, 0.28, 0.50, 0.16, 0.20, 4.92
Mon:12:46:23, Humidity: 47.60, Temp: 74.72, TVOC: 2.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.445 ppm, 1.46, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 5.00
Mon:12:46:24, Humidity: 47.59, Temp: 74.70, TVOC: 5.00 ppb, eCOtwo: 401.00 ppm, HCHO: 0.445 ppm, 1.46, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.99
Mon:12:46:25, Humidity: 47.59, Temp: 74.68, TVOC: 3.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.445 ppm, 1.46, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.90
Mon:12:46:27, Humidity: 47.59, Temp: 74.68, TVOC: 0.00 ppb, eCOtwo: 408.00 ppm, HCHO: 0.445 ppm, 1.47, 0.45, 0.09, 0.29, 0.50, 0.16, 0.20, 4.88
Mon:12:46:27, Humidity: 47.60, Temp: 74.66, TVOC: 4.00 ppb, eCOtwo: 412.00 ppm, HCHO: 0.445 ppm, 1.44, 0.46, 0.08, 0.29, 0.49, 0.16, 0.20, 4.92
Mon:12:46:28, Humidity: 47.59, Temp: 74.66, TVOC: 0.00 ppb, eCOtwo: 424.00 ppm, HCHO: 0.445 ppm, 1.46, 0.46, 0.08, 0.29, 0.50, 0.16, 0.19, 4.90
