2019-05-28 17:52:38, 7, 0.26, 0.43, 0.18, 0.21, 4.92
2019-05-28 17:53:45, Humidity: 68.12, Temp: 58.64, TVOC: 14.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.010 ppm, 0.87, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.91
2019-05-28 17:53:45, Humidity: 68.10, Temp: 58.67, TVOC: 12.00 ppb, eCOtwo: 403.00 ppm, HCHO: 0.010 ppm, 0.88, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.90
2019-05-28 17:53:45, Humidity: 68.10, Temp: 58.64, TVOC: 3.00 ppb, eCOtwo: 402.00 ppm, HCHO: 0.009 ppm, 0.88, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.88
2019-05-28 17:53:46, Humidity: 68.09, Temp: 58.64, TVOC: 3.00 ppb, eCOtwo: 430.00 ppm, HCHO: 0.009 ppm, 0.88, 0.22, 0.07, 0.25, 0.42, 0.19, 0.20, 4.90
2019-05-28 17:53:47, Humidity: 68.09, Temp: 58.64, TVOC: 3.00 ppb, eCOtwo: 438.00 ppm, HCHO: 0.009 ppm, 0.88, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.91
2019-05-28 17:53:50, Humidity: 68.09, Temp: 58.60, TVOC: 0.00 ppb, eCOtwo: 429.00 ppm, HCHO: 0.009 ppm, 0.87, 0.22, 0.07, 0.26, 0.43, 0.18, 0.20, 4.88
2019-05-28 17:53:50, Humidity: 68.09, Temp: 58.60, TVOC: 0.00 ppb, eCOtwo: 459.00 ppm, HCHO: 0.010 ppm, 0.86, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.88
2019-05-28 17:53:51, Humidity: 68.08, Temp: 58.60, TVOC: 7.00 ppb, eCOtwo: 461.00 ppm, HCHO: 0.010 ppm, 0.87, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.88
2019-05-28 17:53:52, Humidity: 68.09, Temp: 58.64, TVOC: 0.00 ppb, eCOtwo: 427.00 ppm, HCHO: 0.010 ppm, 0.88, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.92
2019-05-28 17:53:53, Humidity: 68.07, Temp: 58.60, TVOC: 2.00 ppb, eCOtwo: 428.00 ppm, HCHO: 0.010 ppm, 0.88, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.90
2019-05-28 17:53:56, Humidity: 68.06, Temp: 58.58, TVOC: 3.00 ppb, eCOtwo: 433.00 ppm, HCHO: 0.011 ppm, 0.87, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.87
2019-05-28 17:53:56, Humidity: 68.07, Temp: 58.62, TVOC: 3.00 ppb, eCOtwo: 465.00 ppm, HCHO: 0.011 ppm, 0.87, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.90
2019-05-28 17:53:56, Humidity: 68.09, Temp: 58.62, TVOC: 6.00 ppb, eCOtwo: 458.00 ppm, HCHO: 0.011 ppm, 0.88, 0.22, 0.07, 0.25, 0.42, 0.18, 0.20, 4.90
2019-05-28 17:53:57, Humidity: 68.07, Temp: 58.64, TVOC: 7.00 ppb, eCOtwo: 461.00 ppm, HCHO: 0.012 ppm, 0.87, 0.22, 0.07, 0.25, 0.43, 0.18, 0.21, 4.88
2019-05-28 17:53:58, Humidity: 68.06, Temp: 58.67, TVOC: 15.00 ppb, eCOtwo: 457.00 ppm, HCHO: 0.012 ppm, 0.86, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.88
2019-05-28 17:54:01, Humidity: 68.07, Temp: 58.67, TVOC: 12.00 ppb, eCOtwo: 460.00 ppm, HCHO: 0.012 ppm, 0.88, 0.22, 0.06, 0.26, 0.43, 0.19, 0.20, 4.84
2019-05-28 17:54:01, Humidity: 68.05, Temp: 58.73, TVOC: 4.00 ppb, eCOtwo: 453.00 ppm, HCHO: 0.013 ppm, 0.87, 0.22, 0.07, 0.24, 0.42, 0.18, 0.20, 4.82
2019-05-28 17:54:02, Humidity: 68.05, Temp: 58.73, TVOC: 3.00 ppb, eCOtwo: 457.00 ppm, HCHO: 0.013 ppm, 0.88, 0.22, 0.07, 0.25, 0.42, 0.19, 0.20, 4.84
2019-05-28 17:54:03, Humidity: 68.04, Temp: 58.75, TVOC: 0.00 ppb, eCOtwo: 443.00 ppm, HCHO: 0.013 ppm, 0.88, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.90
2019-05-28 17:54:04, Humidity: 68.00, Temp: 58.75, TVOC: 9.00 ppb, eCOtwo: 428.00 ppm, HCHO: 0.013 ppm, 0.87, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.91
2019-05-28 17:54:07, Humidity: 68.00, Temp: 58.75, TVOC: 0.00 ppb, eCOtwo: 424.00 ppm, HCHO: 0.013 ppm, 0.88, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.90
2019-05-28 17:54:07, Humidity: 67.99, Temp: 58.79, TVOC: 2.00 ppb, eCOtwo: 437.00 ppm, HCHO: 0.013 ppm, 0.87, 0.22, 0.07, 0.25, 0.42, 0.18, 0.20, 4.90
2019-05-28 17:54:07, Humidity: 67.98, Temp: 58.79, TVOC: 8.00 ppb, eCOtwo: 451.00 ppm, HCHO: 0.013 ppm, 0.88, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.91
2019-05-28 17:54:08, Humidity: 67.97, Temp: 58.81, TVOC: 11.00 ppb, eCOtwo: 470.00 ppm, HCHO: 0.013 ppm, 0.87, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.91
2019-05-28 17:54:09, Humidity: 67.94, Temp: 58.83, TVOC: 11.00 ppb, eCOtwo: 469.00 ppm, HCHO: 0.013 ppm, 0.87, 0.22, 0.07, 0.26, 0.42, 0.18, 0.20, 4.88
2019-05-28 17:54:13, Humidity: 67.93, Temp: 58.85, TVOC: 9.00 ppb, eCOtwo: 471.00 ppm, HCHO: 0.013 ppm, 0.87, 0.22, 0.07, 0.25, 0.43, 0.17, 0.20, 4.88
2019-05-28 17:54:13, Humidity: 67.89, Temp: 58.83, TVOC: 6.00 ppb, eCOtwo: 451.00 ppm, HCHO: 0.013 ppm, 0.88, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.84
2019-05-28 17:54:13, Humidity: 67.87, Temp: 58.81, TVOC: 12.00 ppb, eCOtwo: 464.00 ppm, HCHO: 0.013 ppm, 0.87, 0.22, 0.07, 0.25, 0.42, 0.18, 0.20, 4.90
2019-05-28 17:54:14, Humidity: 67.85, Temp: 58.81, TVOC: 11.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.013 ppm, 0.87, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.86
2019-05-28 17:54:15, Humidity: 67.83, Temp: 58.81, TVOC: 17.00 ppb, eCOtwo: 402.00 ppm, HCHO: 0.013 ppm, 0.87, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.84
2019-05-28 17:54:18, Humidity: 67.81, Temp: 58.81, TVOC: 3.00 ppb, eCOtwo: 401.00 ppm, HCHO: 0.012 ppm, 0.87, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.90
2019-05-28 17:54:18, Humidity: 67.79, Temp: 58.85, TVOC: 11.00 ppb, eCOtwo: 413.00 ppm, HCHO: 0.012 ppm, 0.87, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.90
2019-05-28 17:54:18, Humidity: 67.78, Temp: 58.87, TVOC: 10.00 ppb, eCOtwo: 417.00 ppm, HCHO: 0.012 ppm, 0.87, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.90
2019-05-28 17:54:19, Humidity: 67.74, Temp: 58.87, TVOC: 12.00 ppb, eCOtwo: 436.00 ppm, HCHO: 0.012 ppm, 0.87, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.92
2019-05-28 17:54:20, Humidity: 67.75, Temp: 58.87, TVOC: 3.00 ppb, eCOtwo: 441.00 ppm, HCHO: 0.012 ppm, 0.87, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.88
