Mon:11:17:49,  0.48, 0.09, 0.30, 0.53, 0.17, 0.22, 4.93
Mon:11:18:56, Humidity: 46.37, Temp: 76.96, TVOC: 17.00 ppb, eCOtwo: 432.00 ppm, HCHO: 0.545 ppm, 1.52, 0.47, 0.09, 0.30, 0.53, 0.16, 0.21, 4.91
Mon:11:18:57, Humidity: 46.38, Temp: 76.96, TVOC: 21.00 ppb, eCOtwo: 424.00 ppm, HCHO: 0.546 ppm, 1.51, 0.48, 0.09, 0.30, 0.53, 0.16, 0.21, 4.88
Mon:11:18:58, Humidity: 46.39, Temp: 76.98, TVOC: 19.00 ppb, eCOtwo: 424.00 ppm, HCHO: 0.546 ppm, 1.52, 0.48, 0.09, 0.30, 0.54, 0.17, 0.21, 4.90
Mon:11:19:01, Humidity: 46.36, Temp: 76.96, TVOC: 20.00 ppb, eCOtwo: 422.00 ppm, HCHO: 0.546 ppm, 1.52, 0.48, 0.09, 0.30, 0.54, 0.16, 0.20, 4.90
Mon:11:19:01, Humidity: 46.36, Temp: 76.96, TVOC: 12.00 ppb, eCOtwo: 415.00 ppm, HCHO: 0.546 ppm, 1.52, 0.47, 0.09, 0.30, 0.54, 0.16, 0.21, 4.93
Mon:11:19:01, Humidity: 46.36, Temp: 76.94, TVOC: 10.00 ppb, eCOtwo: 406.00 ppm, HCHO: 0.546 ppm, 1.50, 0.48, 0.09, 0.30, 0.53, 0.16, 0.21, 4.93
Mon:11:19:02, Humidity: 46.34, Temp: 76.94, TVOC: 15.00 ppb, eCOtwo: 408.00 ppm, HCHO: 0.546 ppm, 1.52, 0.47, 0.09, 0.30, 0.54, 0.16, 0.21, 5.00
Mon:11:19:04, Humidity: 46.37, Temp: 76.98, TVOC: 7.00 ppb, eCOtwo: 408.00 ppm, HCHO: 0.546 ppm, 1.50, 0.47, 0.09, 0.30, 0.54, 0.16, 0.21, 4.94
Mon:11:19:07, Humidity: 46.37, Temp: 76.94, TVOC: 8.00 ppb, eCOtwo: 405.00 ppm, HCHO: 0.545 ppm, 1.51, 0.48, 0.09, 0.30, 0.53, 0.16, 0.21, 4.92
Mon:11:19:07, Humidity: 46.37, Temp: 76.94, TVOC: 8.00 ppb, eCOtwo: 413.00 ppm, HCHO: 0.543 ppm, 1.52, 0.47, 0.09, 0.30, 0.54, 0.16, 0.21, 4.90
Mon:11:19:07, Humidity: 46.36, Temp: 76.92, TVOC: 10.00 ppb, eCOtwo: 420.00 ppm, HCHO: 0.543 ppm, 1.52, 0.48, 0.09, 0.30, 0.53, 0.16, 0.21, 4.88
Mon:11:19:08, Humidity: 46.37, Temp: 76.92, TVOC: 13.00 ppb, eCOtwo: 417.00 ppm, HCHO: 0.542 ppm, 1.52, 0.48, 0.09, 0.30, 0.54, 0.16, 0.21, 4.97
Mon:11:19:09, Humidity: 46.37, Temp: 76.94, TVOC: 10.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.540 ppm, 1.52, 0.48, 0.09, 0.30, 0.54, 0.16, 0.21, 4.92
Mon:11:19:12, Humidity: 46.37, Temp: 76.92, TVOC: 0.00 ppb, eCOtwo: 406.00 ppm, HCHO: 0.539 ppm, 1.50, 0.47, 0.09, 0.30, 0.54, 0.16, 0.21, 5.00
Mon:11:19:12, Humidity: 46.37, Temp: 76.96, TVOC: 11.00 ppb, eCOtwo: 434.00 ppm, HCHO: 0.539 ppm, 1.52, 0.47, 0.09, 0.30, 0.54, 0.17, 0.21, 5.00
