2019-06-03 18:07:51, Humidity: 31.78, Temp: 72.38, TVOC: 0.00 ppb, eCOtwo: 448.00 ppm, HCHO: 0.012 ppm, 0.65, 0.22, 0.05, 0.21, 0.37, 0.16, 0.18, 4.90
2019-06-03 18:07:52, Humidity: 31.78, Temp: 72.34, TVOC: 0.00 ppb, eCOtwo: 433.00 ppm, HCHO: 0.011 ppm, 0.65, 0.22, 0.05, 0.20, 0.38, 0.16, 0.18, 4.91
2019-06-03 18:07:53, Humidity: 31.75, Temp: 72.36, TVOC: 0.00 ppb, eCOtwo: 433.00 ppm, HCHO: 0.011 ppm, 0.65, 0.22, 0.05, 0.20, 0.37, 0.16, 0.18, 4.84
2019-06-03 18:07:54, Humidity: 31.72, Temp: 72.36, TVOC: 0.00 ppb, eCOtwo: 419.00 ppm, HCHO: 0.011 ppm, 0.64, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.92
2019-06-03 18:07:55, Humidity: 31.72, Temp: 72.36, TVOC: 0.00 ppb, eCOtwo: 406.00 ppm, HCHO: 0.012 ppm, 0.64, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.84
2019-06-03 18:07:56, Humidity: 31.68, Temp: 72.30, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.012 ppm, 0.65, 0.22, 0.05, 0.21, 0.37, 0.17, 0.18, 4.91
2019-06-03 18:07:59, Humidity: 31.65, Temp: 72.36, TVOC: 1.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.013 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.19, 4.89
2019-06-03 18:07:59, Humidity: 31.61, Temp: 72.30, TVOC: 8.00 ppb, eCOtwo: 405.00 ppm, HCHO: 0.014 ppm, 0.65, 0.22, 0.05, 0.20, 0.38, 0.16, 0.18, 4.84
2019-06-03 18:08:00, Humidity: 31.59, Temp: 72.34, TVOC: 4.00 ppb, eCOtwo: 413.00 ppm, HCHO: 0.015 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.88
2019-06-03 18:08:01, Humidity: 31.58, Temp: 72.32, TVOC: 3.00 ppb, eCOtwo: 412.00 ppm, HCHO: 0.015 ppm, 0.64, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.92
2019-06-03 18:08:02, Humidity: 31.56, Temp: 72.34, TVOC: 3.00 ppb, eCOtwo: 416.00 ppm, HCHO: 0.016 ppm, 0.65, 0.22, 0.05, 0.21, 0.37, 0.16, 0.18, 4.88
2019-06-03 18:08:03, Humidity: 31.53, Temp: 72.32, TVOC: 0.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.017 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.94
2019-06-03 18:08:04, Humidity: 31.51, Temp: 72.34, TVOC: 2.00 ppb, eCOtwo: 415.00 ppm, HCHO: 0.018 ppm, 0.65, 0.22, 0.05, 0.21, 0.37, 0.16, 0.18, 4.89
2019-06-03 18:08:05, Humidity: 31.50, Temp: 72.34, TVOC: 0.00 ppb, eCOtwo: 413.00 ppm, HCHO: 0.018 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.90
2019-06-03 18:08:06, Humidity: 31.49, Temp: 72.30, TVOC: 4.00 ppb, eCOtwo: 418.00 ppm, HCHO: 0.018 ppm, 0.65, 0.22, 0.05, 0.21, 0.37, 0.16, 0.18, 4.84
2019-06-03 18:08:07, Humidity: 31.46, Temp: 72.32, TVOC: 0.00 ppb, eCOtwo: 415.00 ppm, HCHO: 0.018 ppm, 0.64, 0.22, 0.05, 0.21, 0.37, 0.16, 0.18, 4.82
2019-06-03 18:08:10, Humidity: 31.46, Temp: 72.30, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.018 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.17, 4.89
2019-06-03 18:08:10, Humidity: 31.43, Temp: 72.32, TVOC: 8.00 ppb, eCOtwo: 424.00 ppm, HCHO: 0.018 ppm, 0.65, 0.22, 0.05, 0.21, 0.37, 0.16, 0.17, 4.91
2019-06-03 18:08:11, Humidity: 31.43, Temp: 72.32, TVOC: 7.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.018 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.89
2019-06-03 18:08:12, Humidity: 31.41, Temp: 72.34, TVOC: 6.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.018 ppm, 0.64, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.89
2019-06-03 18:08:13, Humidity: 31.41, Temp: 72.36, TVOC: 8.00 ppb, eCOtwo: 414.00 ppm, HCHO: 0.018 ppm, 0.65, 0.22, 0.05, 0.20, 0.38, 0.16, 0.18, 4.89
2019-06-03 18:08:14, Humidity: 31.39, Temp: 72.32, TVOC: 11.00 ppb, eCOtwo: 419.00 ppm, HCHO: 0.018 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.89
2019-06-03 18:08:15, Humidity: 31.36, Temp: 72.36, TVOC: 2.00 ppb, eCOtwo: 422.00 ppm, HCHO: 0.017 ppm, 0.64, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.90
2019-06-03 18:08:16, Humidity: 31.36, Temp: 72.32, TVOC: 6.00 ppb, eCOtwo: 425.00 ppm, HCHO: 0.017 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.89
2019-06-03 18:08:17, Humidity: 31.36, Temp: 72.32, TVOC: 8.00 ppb, eCOtwo: 439.00 ppm, HCHO: 0.017 ppm, 0.65, 0.22, 0.05, 0.21, 0.37, 0.16, 0.18, 4.89
2019-06-03 18:08:18, Humidity: 31.37, Temp: 72.32, TVOC: 0.00 ppb, eCOtwo: 432.00 ppm, HCHO: 0.016 ppm, 0.65, 0.22, 0.05, 0.21, 0.37, 0.16, 0.18, 4.89
