Tue:22:16:06, eCOtwo: 552.00 ppm	HCHO: 0.014 ppm
Tue:22:16:06, 31.00 ppb	eCOtwo: 555.00 ppm	HCHO: 0.013 ppm
Tue:22:17:53, 	Humidity: 40.60	Temp: 77.07	TVOC: 18.00 ppb	eCOtwo: 401.00 ppm	HCHO: 0.011 ppm
Tue:22:17:54, 	Humidity: 40.63	Temp: 77.05	TVOC: 11.00 ppb	eCOtwo: 404.00 ppm	HCHO: 0.012 ppm
Tue:22:17:55, 	Humidity: 40.66	Temp: 77.05	TVOC: 19.00 ppb	eCOtwo: 406.00 ppm	HCHO: 0.012 ppm
Tue:22:17:56, 	Humidity: 40.67	Temp: 77.01	TVOC: 6.00 ppb	eCOtwo: 412.00 ppm	HCHO: 0.012 ppm
Tue:22:17:57, 	Humidity: 40.66	Temp: 77.07	TVOC: 11.00 ppb	eCOtwo: 406.00 ppm	HCHO: 0.012 ppm
Tue:22:17:59, 	Humidity: 40.68	Temp: 77.07	TVOC: 17.00 ppb	eCOtwo: 407.00 ppm	HCHO: 0.012 ppm
Tue:22:18:00, 	Humidity: 40.66	Temp: 77.03	TVOC: 12.00 ppb	eCOtwo: 415.00 ppm	HCHO: 0.012 ppm
Tue:22:18:01, 	Humidity: 40.67	Temp: 77.07	TVOC: 10.00 ppb	eCOtwo: 421.00 ppm	HCHO: 0.012 ppm
Tue:22:18:02, 	Humidity: 40.67	Temp: 77.07	TVOC: 18.00 ppb	eCOtwo: 421.00 ppm	HCHO: 0.012 ppm
Tue:22:18:03, 	Humidity: 40.66	Temp: 77.13	TVOC: 12.00 ppb	eCOtwo: 410.00 ppm	HCHO: 0.012 ppm
Tue:22:18:04, 	Humidity: 40.65	Temp: 77.15	TVOC: 8.00 ppb	eCOtwo: 408.00 ppm	HCHO: 0.012 ppm
Tue:22:18:05, 	Humidity: 40.63	Temp: 77.15	TVOC: 8.00 ppb	eCOtwo: 412.00 ppm	HCHO: 0.012 ppm
Tue:22:18:06, 	Humidity: 40.61	Temp: 77.19	TVOC: 7.00 ppb	eCOtwo: 409.00 ppm	HCHO: 0.013 ppm
Tue:22:18:07, 	Humidity: 40.62	Temp: 77.17	TVOC: 10.00 ppb	eCOtwo: 407.00 ppm	HCHO: 0.013 ppm
Tue:22:18:09, 	Humidity: 40.58	Temp: 77.23	TVOC: 17.00 ppb	eCOtwo: 417.00 ppm	HCHO: 0.013 ppm
Tue:22:18:10, 	Humidity: 40.57	Temp: 77.21	TVOC: 10.00 ppb	eCOtwo: 409.00 ppm	HCHO: 0.013 ppm
Tue:22:18:11, 	Humidity: 40.55	Temp: 77.23	TVOC: 10.00 ppb	eCOtwo: 411.00 ppm	HCHO: 0.013 ppm
Tue:22:18:12, 	Humidity: 40.55	Temp: 77.23	TVOC: 13.00 ppb	eCOtwo: 408.00 ppm	HCHO: 0.012 ppm
Tue:22:18:13, 	Humidity: 40.54	Temp: 77.25	TVOC: 14.00 ppb	eCOtwo: 416.00 ppm	HCHO: 0.012 ppm
Tue:22:18:14, 	Humidity: 40.53	Temp: 77.27	TVOC: 17.00 ppb	eCOtwo: 418.00 ppm	HCHO: 0.012 ppm
Tue:22:18:15, 	Humidity: 40.52	Temp: 77.23	TVOC: 17.00 ppb	eCOtwo: 425.00 ppm	HCHO: 0.011 ppm
Tue:22:18:16, 	Humidity: 40.50	Temp: 77.27	TVOC: 16.00 ppb	eCOtwo: 417.00 ppm	HCHO: 0.011 ppm
Tue:22:18:17, 	Humidity: 40.50	Temp: 77.25	TVOC: 12.00 ppb	eCOtwo: 424.00 ppm	HCHO: 0.011 ppm
Tue:22:18:18, 	Humidity: 40.49	Temp: 77.27	TVOC: 15.00 ppb	eCOtwo: 435.00 ppm	HCHO: 0.011 ppm
Tue:22:18:20, 	Humidity: 40.50	Temp: 77.23	TVOC: 20.00 ppb	eCOtwo: 424.00 ppm	HCHO: 0.011 ppm
Tue:22:18:21, 	Humidity: 40.49	Temp: 77.25	TVOC: 21.00 ppb	eCOtwo: 441.00 ppm	HCHO: 0.011 ppm
Tue:22:18:22, 	Humidity: 40.50	Temp: 77.21	TVOC: 21.00 ppb	eCOtwo: 447.00 ppm	HCHO: 0.012 ppm
Tue:22:18:23, 	Humidity: 40.48	Temp: 77.23	TVOC: 19.00 ppb	eCOtwo: 446.00 ppm	HCHO: 0.012 ppm
Tue:22:18:24, 	Humidity: 40.49	Temp: 77.21	TVOC: 13.00 ppb	eCOtwo: 438.00 ppm	HCHO: 0.012 ppm
Tue:22:18:25, 	Humidity: 40.50	Temp: 77.21	TVOC: 23.00 ppb	eCOtwo: 445.00 ppm	HCHO: 0.013 ppm
Tue:22:18:26, 	Humidity: 40.50	Temp: 77.19	TVOC: 23.00 ppb	eCOtwo: 441.00 ppm	HCHO: 0.013 ppm
Tue:22:18:27, 	Humidity: 40.50	Temp: 77.23	TVOC: 18.00 ppb	eCOtwo: 439.00 ppm	HCHO: 0.013 ppm
Tue:22:18:28, 	Humidity: 40.52	Temp: 77.19	TVOC: 20.00 ppb	eCOtwo: 457.00 ppm	HCHO: 0.013 ppm
Tue:22:18:29, 	Humidity: 40.50	Temp: 77.23	TVOC: 15.00 ppb	eCOtwo: 442.00 ppm	HCHO: 0.013 ppm
Tue:22:18:31, 	Humidity: 40.51	Temp: 77.27	TVOC: 27.00 ppb	eCOtwo: 444.00 ppm	HCHO: 0.012 ppm
Tue:22:18:32, 	Humidity: 40.53	Temp: 77.25	TVOC: 20.00 ppb	eCOtwo: 440.00 ppm	HCHO: 0.012 ppm
Tue:22:18:33, 	Humidity: 40.51	Temp: 77.27	TVOC: 27.00 ppb	eCOtwo: 444.00 ppm	HCHO: 0.012 ppm
Tue:22:18:34, 	Humidity: 40.50	Temp: 77.32	TVOC: 24.00 ppb	eCOtwo: 432.00 ppm	HCHO: 0.011 ppm
Tue:22:18:35, 	Humidity: 40.50	Temp: 77.34	TVOC: 15.00 ppb	eCOtwo: 433.00 ppm	HCHO: 0.011 ppm
Tue:22:18:36, 	Humidity: 40.49	Temp: 77.36	TVOC: 33.00 ppb	eCOtwo: 424.00 ppm	HCHO: 0.011 ppm
Tue:22:18:37, 	Humidity: 40.47	Temp: 77.34	TVOC: 28.00 ppb	eCOtwo: 434.00 ppm	HCHO: 0.011 ppm
Tue:22:18:38, 	Humidity: 40.47	Temp: 77.34	TVOC: 30.00 ppb	eCOtwo: 429.00 ppm	HCHO: 0.011 ppm
