Sun:23:09:42, 	Humidity: 37.42	Temp: 69.72	TVOC: 8.00 ppb	eCOtwo: 455.00 ppm	HCHO: 0.020 ppm
Sun:23:09:43, 	Humidity: 37.43	Temp: 69.74	TVOC: 8.00 ppb	eCOtwo: 442.00 ppm	HCHO: 0.020 ppm
Sun:23:09:44, 	Humidity: 37.44	Temp: 69.74	TVOC: 11.00 ppb	eCOtwo: 457.00 ppm	HCHO: 0.020 ppm
Sun:23:09:46, 	Humidity: 37.42	Temp: 69.72	TVOC: 13.00 ppb	eCOtwo: 454.00 ppm	HCHO: 0.020 ppm
Sun:23:09:47, 	Humidity: 37.44	Temp: 69.72	TVOC: 0.00 ppb	eCOtwo: 447.00 ppm	HCHO: 0.020 ppm
Sun:23:09:48, 	Humidity: 37.43	Temp: 69.68	TVOC: 5.00 ppb	eCOtwo: 458.00 ppm	HCHO: 0.020 ppm
Sun:23:09:49, 	Humidity: 37.44	Temp: 69.70	TVOC: 9.00 ppb	eCOtwo: 451.00 ppm	HCHO: 0.020 ppm
Sun:23:09:50, 	Humidity: 37.44	Temp: 69.72	TVOC: 4.00 ppb	eCOtwo: 447.00 ppm	HCHO: 0.020 ppm
Sun:23:09:51, 	Humidity: 37.45	Temp: 69.72	TVOC: 9.00 ppb	eCOtwo: 444.00 ppm	HCHO: 0.020 ppm
Sun:23:09:52, 	Humidity: 37.45	Temp: 69.72	TVOC: 6.00 ppb	eCOtwo: 446.00 ppm	HCHO: 0.020 ppm
Sun:23:09:53, 	Humidity: 37.46	Temp: 69.72	TVOC: 0.00 ppb	eCOtwo: 441.00 ppm	HCHO: 0.020 ppm
Sun:23:09:54, 	Humidity: 37.46	Temp: 69.70	TVOC: 3.00 ppb	eCOtwo: 462.00 ppm	HCHO: 0.020 ppm
Sun:23:09:55, 	Humidity: 37.45	Temp: 69.66	TVOC: 11.00 ppb	eCOtwo: 454.00 ppm	HCHO: 0.020 ppm
Sun:23:09:57, 	Humidity: 37.45	Temp: 69.66	TVOC: 5.00 ppb	eCOtwo: 454.00 ppm	HCHO: 0.020 ppm
Sun:23:09:58, 	Humidity: 37.46	Temp: 69.66	TVOC: 3.00 ppb	eCOtwo: 443.00 ppm	HCHO: 0.020 ppm
Sun:23:09:59, 	Humidity: 37.45	Temp: 69.66	TVOC: 1.00 ppb	eCOtwo: 454.00 ppm	HCHO: 0.020 ppm
Sun:23:10:00, 	Humidity: 37.45	Temp: 69.66	TVOC: 0.00 ppb	eCOtwo: 445.00 ppm	HCHO: 0.020 ppm
Sun:23:10:01, 	Humidity: 37.48	Temp: 69.68	TVOC: 1.00 ppb	eCOtwo: 445.00 ppm	HCHO: 0.020 ppm
Sun:23:10:02, 	Humidity: 37.46	Temp: 69.62	TVOC: 0.00 ppb	eCOtwo: 445.00 ppm	HCHO: 0.020 ppm
